,Sevilla scored,Sevilla received,Getafe scored,Getafe received,La Coruna scored,La Coruna received,Valencia scored,Valencia received,Ath Madrid scored,Ath Madrid received,Gimnàstic not found scored,Gimnàstic not found received,Barcelona scored,Barcelona received,Ath Bilbao scored,Ath Bilbao received,Sociedad scored,Sociedad received,Recreativo scored,Recreativo received,Villarreal scored,Villarreal received,Real Madrid scored,Real Madrid received,Mallorca scored,Mallorca received,Celta scored,Celta received,Zaragoza scored,Zaragoza received,Betis scored,Betis received,Santander scored,Santander received,Osasuna scored,Osasuna received,Levante scored,Levante received,Espanol scored,Espanol received
0,4,0,2,0,3,2,2,1,1,0,1,0,3,2,1,1,1,1,1,1,0,0,0,0,1,1,2,3,2,3,1,2,0,1,0,2,0,4,0,1
1,3,1,1,0,0,0,1,0,0,1,1,2,3,0,0,3,1,3,1,0,0,1,4,1,0,0,2,1,3,0,3,0,0,1,0,3,1,4,0,3
2,3,2,0,2,2,0,2,0,4,1,0,2,3,0,1,4,0,2,0,1,0,2,2,0,0,2,1,2,2,0,2,3,0,3,2,0,1,0,2,1
3,1,2,0,0,0,2,1,1,2,1,2,2,1,1,0,0,2,3,3,2,3,2,1,0,1,0,0,2,2,3,0,1,2,2,2,0,2,0,0,1
4,1,0,0,1,2,0,4,0,1,1,0,4,3,1,1,3,0,2,2,0,2,1,1,1,1,2,1,1,2,2,0,2,1,1,0,0,2,2,0,0
5,1,3,1,0,1,1,2,3,2,1,2,3,3,1,3,2,1,3,1,2,0,0,0,1,1,0,3,2,3,1,1,1,1,0,0,1,0,1,0,0
6,2,1,2,1,1,0,1,0,0,1,1,2,0,2,0,1,0,0,1,2,1,1,2,0,0,0,1,0,2,1,1,2,2,2,0,1,1,1,2,2
7,2,1,2,0,0,2,0,1,0,1,1,3,3,0,1,1,0,1,0,3,1,0,3,1,1,0,1,2,1,0,0,1,1,0,1,1,0,0,0,0
8,2,0,1,3,1,1,1,1,0,0,1,2,1,1,0,0,0,2,2,1,3,2,1,2,0,0,2,1,3,1,2,3,0,0,0,2,2,0,1,1
9,0,0,1,0,0,0,1,1,3,1,0,0,3,1,1,1,1,1,2,1,1,3,4,1,0,1,1,2,1,3,2,1,0,0,1,4,1,2,1,1
10,3,0,0,1,0,1,0,3,3,0,0,3,4,1,2,3,0,0,2,0,1,0,3,1,1,4,1,0,3,0,0,0,1,3,0,2,0,3,3,2
11,3,1,0,0,1,4,0,1,1,1,2,3,4,0,1,3,1,1,3,4,0,4,1,0,3,2,1,1,1,1,1,1,4,3,4,1,0,0,1,1
12,1,2,0,0,0,0,0,2,1,0,0,2,1,1,1,2,0,0,2,0,2,0,2,1,2,2,2,2,1,2,0,1,0,0,2,1,1,1,2,1
13,2,1,1,1,0,4,4,0,1,2,2,1,1,0,4,2,0,1,2,4,1,1,1,2,0,3,1,1,2,0,1,1,0,2,3,0,1,2,2,1
14,3,1,0,1,0,2,1,0,1,0,2,3,1,1,2,0,3,2,1,3,1,4,1,0,1,2,1,1,0,1,1,1,2,1,4,1,1,1,0,1
15,4,0,0,1,0,4,3,1,1,1,0,1,1,1,0,0,0,0,3,0,1,2,0,3,1,3,0,0,0,0,1,0,2,1,2,1,1,2,1,0
16,1,2,1,1,2,0,1,0,0,0,0,0,1,1,3,1,2,1,1,0,0,1,0,2,1,3,0,1,2,1,1,0,0,2,1,2,2,0,0,1
17,1,2,3,1,1,1,3,0,3,1,1,3,1,3,0,1,0,1,1,1,1,0,1,0,2,1,1,3,0,1,1,5,1,0,5,1,0,3,3,1
18,0,0,1,0,0,0,1,0,1,0,0,3,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0
19,4,2,2,0,1,1,1,2,1,1,4,0,3,1,2,0,0,2,1,2,1,0,0,1,2,1,1,3,1,1,2,1,1,1,0,2,2,4,0,4
20,0,0,0,1,1,0,3,1,1,3,1,1,0,0,1,2,0,0,2,1,1,2,0,1,0,1,1,1,2,1,2,1,1,0,0,0,1,0,1,2
21,0,0,3,0,2,0,0,3,1,0,2,3,2,0,0,1,1,2,1,2,0,2,2,1,2,1,0,2,1,2,0,0,0,2,3,2,2,1,2,0
22,3,1,0,2,0,0,2,1,1,3,1,4,1,2,2,0,0,1,1,0,0,1,0,0,1,3,1,0,1,0,0,0,4,1,0,1,0,0,3,1
23,0,0,0,0,1,0,1,1,1,1,1,1,3,0,0,3,0,1,0,0,2,1,1,1,1,2,2,2,0,0,0,0,2,2,0,2,0,0,2,0
24,2,1,1,1,0,1,1,0,0,1,2,0,1,2,0,2,2,3,1,0,1,1,1,1,3,1,0,1,3,2,1,0,1,0,0,1,1,3,1,1
25,0,1,1,1,0,2,1,1,2,0,1,0,3,3,1,1,3,1,1,1,2,0,3,3,1,3,1,1,1,1,1,1,1,1,1,1,0,2,1,1
26,2,0,0,1,1,0,0,2,0,1,0,2,4,0,0,3,1,1,0,4,1,1,2,0,2,0,0,2,1,0,0,2,2,0,3,0,1,1,1,1
27,0,0,2,2,1,2,3,2,1,1,1,1,2,1,4,5,1,0,1,1,3,3,2,1,1,1,1,2,2,2,3,3,5,4,0,0,0,1,2,3
28,0,0,0,2,1,0,0,1,1,0,0,1,0,1,1,0,0,1,4,2,0,1,2,0,2,0,2,4,1,0,1,1,0,0,0,2,1,1,1,0
29,0,2,3,0,0,1,2,0,1,0,1,0,1,0,2,1,1,0,1,1,0,3,1,2,0,1,1,0,0,1,0,1,2,1,1,1,0,1,1,2
30,4,1,1,1,1,0,1,2,0,2,0,1,0,2,1,4,2,0,4,2,2,0,2,1,1,0,0,2,2,0,2,2,2,4,0,1,1,1,2,2
31,3,1,1,0,0,0,2,0,0,0,0,3,1,0,1,4,0,1,0,2,3,0,4,1,3,0,0,3,2,2,0,0,0,0,2,2,0,1,1,3
32,2,3,2,0,1,2,2,1,1,2,0,2,2,0,0,0,0,2,0,0,1,0,3,2,3,1,0,1,0,0,0,2,0,0,1,3,2,0,2,1
33,2,1,1,4,1,1,2,0,4,1,1,3,1,1,1,1,3,1,1,2,4,1,4,3,2,0,1,2,0,2,1,1,0,2,1,4,2,1,3,4
34,2,1,5,1,1,2,1,0,0,6,1,1,6,0,3,4,3,1,2,3,2,1,3,2,0,1,1,3,4,3,1,1,1,2,4,1,1,4,1,5
35,3,1,0,1,1,3,2,3,2,0,0,2,1,0,1,0,0,2,0,1,3,2,3,1,0,1,2,1,1,3,1,2,2,3,2,0,3,2,1,0
36,0,0,0,1,2,5,2,4,2,3,1,0,2,2,1,3,0,0,5,2,3,1,2,2,0,0,3,2,2,2,0,5,0,0,5,0,4,2,2,2
37,0,1,1,2,3,1,3,3,2,1,1,5,5,1,2,0,3,3,1,1,1,0,3,1,1,3,2,1,1,1,2,0,0,2,1,2,0,2,1,3
