,Man City scored,Man City received,Leicester scored,Leicester received,Crystal Palace scored,Crystal Palace received,West Ham scored,West Ham received,Aston Villa scored,Aston Villa received,Liverpool scored,Liverpool received,Man United scored,Man United received,Chelsea scored,Chelsea received,Everton scored,Everton received,Newcastle scored,Newcastle received,Southampton scored,Southampton received,Swansea scored,Swansea received,Watford scored,Watford received,Bournemouth scored,Bournemouth received,Stoke scored,Stoke received,Tottenham scored,Tottenham received,Sunderland scored,Sunderland received,Norwich scored,Norwich received,Arsenal scored,Arsenal received,West Brom scored,West Brom received
0,3,0,4,2,3,1,2,0,1,0,1,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,0,1,2,4,1,3,0,2,0,3
1,6,0,6,3,4,3,3,2,1,1,2,0,2,0,2,5,5,2,2,4,2,5,4,2,2,2,0,2,2,3,2,3,3,7,4,4,2,3,0,3
2,8,0,7,4,6,4,6,6,2,3,2,0,2,0,5,7,5,4,2,4,2,5,5,3,2,2,4,5,3,4,3,4,4,8,5,5,2,3,2,6
3,10,0,8,5,8,5,9,6,4,5,2,3,3,2,6,9,5,4,2,5,5,5,7,4,2,4,5,6,3,5,3,4,6,10,5,8,3,3,3,6
4,11,0,11,7,8,6,11,6,6,8,3,6,6,3,7,12,8,5,2,7,5,5,7,5,3,4,6,9,3,7,4,4,6,11,8,9,5,3,3,6
5,12,2,13,9,8,7,13,7,6,9,4,7,9,5,9,12,8,5,3,9,7,8,7,5,5,5,8,9,5,9,5,4,6,13,9,10,5,5,4,6
6,13,6,15,14,9,7,15,9,8,12,7,9,12,5,11,14,11,7,5,11,10,9,8,8,5,6,9,11,7,10,9,5,6,16,11,12,10,7,6,9
7,19,7,17,15,11,7,17,11,8,13,8,10,12,8,12,17,12,8,6,17,13,10,10,10,6,7,10,12,8,10,11,7,8,18,12,14,13,7,6,11
8,24,8,19,17,12,10,20,12,8,15,8,10,15,8,14,17,12,11,12,19,15,12,10,11,6,10,11,17,9,10,11,7,8,19,14,20,16,7,7,11
9,24,8,20,17,12,11,22,13,9,17,9,11,15,8,15,19,13,13,12,22,16,13,12,12,8,10,12,22,9,12,16,8,11,19,14,21,18,8,8,11
10,26,9,23,19,12,11,22,15,10,20,12,12,15,8,16,22,19,15,12,22,18,13,12,15,10,10,12,24,9,12,19,9,13,25,15,23,21,8,10,14
11,26,9,25,20,14,12,23,16,10,20,13,14,17,8,16,23,20,16,13,22,19,13,12,16,11,12,12,25,10,12,20,10,13,26,16,23,22,9,10,16
12,27,13,28,20,14,13,24,20,10,24,17,15,19,9,17,23,24,16,13,25,19,14,14,18,12,14,14,27,11,12,24,11,14,26,16,24,23,11,12,17
13,30,14,29,21,19,14,25,21,12,27,18,15,20,10,17,23,27,19,14,30,20,17,14,19,15,16,17,30,11,14,24,11,16,26,17,25,24,12,13,18
14,30,16,32,21,20,15,25,21,13,28,18,17,20,10,17,24,28,20,16,30,21,18,14,22,17,16,18,30,13,14,25,12,17,29,17,27,27,13,14,19
15,32,17,34,22,21,15,25,21,13,30,20,19,21,12,18,26,29,21,18,31,21,19,15,24,18,16,20,31,13,14,26,14,17,30,18,28,29,13,16,21
16,33,19,37,24,23,16,25,21,14,31,20,22,22,14,21,27,31,24,19,32,21,21,15,24,21,16,22,32,14,16,28,14,18,33,20,29,31,14,17,23
17,37,20,37,25,23,16,26,22,15,32,21,22,22,16,23,29,32,24,19,33,25,21,16,24,23,18,22,32,16,16,31,14,19,37,20,32,31,18,17,24
18,37,20,37,25,23,16,28,23,15,34,22,22,22,16,23,29,35,28,19,34,26,23,16,24,24,20,22,34,20,19,33,15,19,38,22,32,33,18,18,24
19,39,21,37,25,23,19,30,23,16,37,22,24,24,17,26,29,36,29,19,35,26,24,17,26,25,22,22,34,21,21,34,16,22,39,23,32,34,18,20,25
20,39,21,38,25,23,20,33,24,17,37,25,27,27,20,28,31,36,29,22,38,28,24,19,30,25,24,23,37,24,22,34,17,26,41,24,35,37,21,22,27
21,43,21,39,26,23,24,34,26,18,38,25,28,28,20,31,34,39,32,24,39,31,24,20,30,25,25,26,37,24,22,38,18,27,45,24,38,37,21,22,30
22,45,23,42,26,24,27,36,28,18,38,30,32,28,21,32,34,40,34,25,41,32,24,22,31,27,26,27,38,24,25,41,19,28,46,28,43,37,22,22,30
23,46,23,44,26,25,29,38,28,18,40,30,34,31,21,32,34,43,34,25,44,32,24,23,32,27,26,29,39,24,28,44,19,28,47,28,46,37,22,23,31
24,47,26,47,27,26,30,38,29,20,40,32,36,32,22,33,35,46,34,26,44,33,24,24,33,27,27,29,41,24,31,45,19,30,49,28,48,39,22,23,32
25,48,28,48,29,27,32,40,31,20,46,38,36,33,24,38,36,46,35,27,49,34,24,24,34,29,28,30,44,27,32,47,20,32,50,30,50,41,23,24,32
26,49,29,49,29,29,35,41,31,21,48,42,36,36,26,40,37,46,39,28,50,35,26,25,36,29,28,30,44,29,33,49,21,32,51,30,51,43,26,27,34
27,49,32,51,31,31,37,42,31,22,51,45,36,37,26,42,38,49,40,28,51,35,28,27,37,29,29,32,44,30,33,49,22,34,53,31,53,44,28,29,36
28,53,32,52,31,32,39,45,33,22,55,47,37,37,27,43,39,51,43,29,54,36,29,28,37,29,30,35,45,31,34,51,24,35,54,31,54,46,30,30,36
29,53,32,53,31,32,41,48,34,22,57,48,38,39,27,44,40,51,46,29,55,38,30,30,40,30,33,38,47,32,36,53,24,38,54,31,54,48,30,30,38
30,53,33,54,31,32,42,50,36,22,58,50,41,40,27,46,42,51,48,30,56,41,32,31,40,31,35,38,50,34,37,56,24,39,55,32,54,50,30,30,39
31,57,33,55,31,34,44,52,38,22,62,51,42,41,27,50,42,51,49,32,59,41,33,33,42,31,39,38,54,36,39,57,25,39,55,35,56,54,30,30,39
32,59,34,57,31,35,44,55,41,23,64,55,43,41,30,50,43,52,50,33,62,44,34,34,42,32,40,40,55,37,43,60,25,39,57,35,57,57,33,31,41
33,62,34,59,33,36,45,57,43,23,65,57,44,42,30,50,46,53,51,36,62,45,35,34,45,33,40,41,57,37,47,64,25,42,57,35,60,58,34,31,42
34,66,34,63,33,36,45,60,45,25,69,59,46,44,33,54,47,53,51,38,64,49,37,34,49,35,44,42,61,37,51,65,26,42,57,39,62,58,34,32,43
35,68,38,64,34,36,46,63,45,27,72,60,49,45,34,56,49,55,52,39,64,53,39,37,50,38,46,43,63,38,52,67,28,43,58,39,63,59,34,32,46
36,70,40,67,35,38,47,64,49,27,72,62,49,46,34,58,52,56,55,39,64,55,40,41,51,38,48,44,64,39,54,68,30,46,60,39,64,61,36,33,47
37,71,41,68,36,39,51,65,51,27,76,63,50,49,35,59,53,59,55,44,65,59,41,42,52,40,50,45,67,41,55,69,35,48,62,39,67,65,36,34,48
